"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"702","X2000","CR249185",1.015,1.6985,0.076140434484392,0.00114660615982511,0.12932452797174,0.00116380525222249,0.130488333223962
"703","X2005","CR249185",1.015,1.6985,0.0956652564664622,0.00114660615982511,0.162487438108286,0.00116380525222249,0.163651243360508
"704","X2010","CR249185",1.015,1.6985,0.0935938960342386,0.00114660615982511,0.158969232414154,0.00116380525222249,0.160133037666377
"705","X2012","CR249185",1.015,1.6985,0.107102779360706,0.00114660615982511,0.18191407074416,0.00116380525222249,0.183077875996382
"706","X2015","CR249185",1.015,1.6985,0.100165522249204,0.00114660615982511,0.170131139540273,0.00116380525222249,0.171294944792495
"707","X2000","CR257217",1.015,1.603,0.0929138996473588,0.0195741476111682,0.148940981134716,0.0198677598253357,0.168808740960052
"708","X2005","CR257217",1.015,1.603,0.113796037186041,0.0195741476111682,0.182415047609224,0.0198677598253357,0.202282807434559
"709","X2010","CR257217",1.015,1.603,0.11121614448168,0.0195741476111682,0.178279479604132,0.0198677598253357,0.198147239429468
"710","X2012","CR257217",1.015,1.603,0.10623133708488,0.0195741476111682,0.170288833347062,0.0198677598253357,0.190156593172398
"711","X2015","CR257217",1.015,1.603,0.10338315449828,0.0195741476111682,0.165723196660742,0.0198677598253357,0.185590956486078
"712","X2000","CR257175",1.015,1.6985,0.0112083364972496,0,0.0190373595405784,0,0.0190373595405784
"713","X2005","CR257175",1.015,1.6985,0.00389364760350871,0,0.00661336045455954,0,0.00661336045455954
"714","X2010","CR257175",1.015,1.6985,0.00297451274833124,0,0.00505220990304061,0,0.00505220990304061
"715","X2015","CR257175",1.015,1.6985,0.00117793762247564,0,0.00200072705177487,0,0.00200072705177487
"716","X2000","CR246186",1.015,1.6985,0.0696639564938032,0,0.118324230104725,0,0.118324230104725
"717","X2005","CR246186",1.015,1.6985,0.0851596140151575,0,0.144643604404745,0,0.144643604404745
"718","X2010","CR246186",1.015,1.6985,0.0745391448465867,0,0.126604737521927,0,0.126604737521927
"719","X2012","CR246186",1.015,1.6985,0.120161960468777,0,0.204095089856218,0,0.204095089856218
"720","X2015","CR246186",1.015,1.6985,0.202028102150493,0,0.343144731502612,0,0.343144731502612
"721","X2000","CR242191",1.015,1.6985,0.000998659033130938,0,0.0016962223677729,0,0.0016962223677729
"722","X2005","CR242191",1.015,1.6985,0.000465644075143979,0,0.000790896461632048,0,0.000790896461632048
"723","X2010","CR242191",1.015,1.6985,0.000423403642136199,0,0.000719151086168334,0,0.000719151086168334
"724","X2012","CR242191",1.015,1.6985,0.000734307308015621,0,0.00124722096266453,0,0.00124722096266453
"725","X2015","CR242191",1.015,1.6985,0.00208413362013364,0,0.00353990095379699,0,0.00353990095379699
"726","X2010","CR253176",1.015,1.6985,0.00379028872478015,0,0.00643780539903908,0,0.00643780539903908
"727","X2012","CR253176",1.015,1.6985,0.000712728852492054,0,0.00121056995595775,0,0.00121056995595775
"728","X2000","CR255217",1.015,1.603,0.13980160978773,0.0394733753626467,0.224101980489732,0.0400654759930864,0.264167456482818
"729","X2005","CR255217",1.015,1.603,0.151598750336502,0.0394733753626467,0.243012796789413,0.0400654759930864,0.283078272782499
"730","X2010","CR255217",1.015,1.603,0.153502282217773,0.0394733753626467,0.24606415839509,0.0400654759930864,0.286129634388177
"731","X2012","CR255217",1.015,1.603,0.153905502506482,0.0394733753626467,0.246710520517891,0.0400654759930864,0.286775996510978
"732","X2015","CR255217",1.015,1.603,0.15611652107422,0.0394733753626467,0.250254783281975,0.0400654759930864,0.290320259275061
"733","X2000","CR251217",1.015,1.603,0.184247724247627,0.00755788701973105,0.295349101968946,0.00767125532502702,0.303020357293973
"734","X2005","CR251217",1.015,1.603,0.239301747978672,0.00755788701973105,0.383600702009812,0.00767125532502702,0.391271957334839
"735","X2010","CR251217",1.015,1.603,0.24507615069379,0.00755788701973105,0.392857069562145,0.00767125532502702,0.400528324887172
"736","X2012","CR251217",1.015,1.603,0.250495403525008,0.00755788701973105,0.401544131850587,0.00767125532502702,0.409215387175614
"737","X2015","CR251217",1.015,1.603,0.251190876320611,0.00755788701973105,0.40265897474194,0.00767125532502702,0.410330230066967
"738","X2000","CR222178",1.015,1.6985,0.00167779003830934,0,0.00284972638006841,0,0.00284972638006841
"739","X2005","CR222178",1.015,1.6985,0.000331256220757182,0,0.000562638690956073,0,0.000562638690956073
"740","X2010","CR222178",1.015,1.6985,0.00139497442218868,0,0.00236936405608748,0,0.00236936405608748
"741","X2012","CR222178",1.015,1.6985,0.000485200358802831,0,0.000824112809426608,0,0.000824112809426608
"742","X2015","CR222178",1.015,1.6985,0.00126157815478509,0,0.00214279049590248,0,0.00214279049590248
"743","X2000","CR234187",1.015,1.6985,0.00520788533968426,0,0.00884559324945371,0,0.00884559324945371
"744","X2010","CR234187",1.015,1.6985,0.0018873052166229,0,0.003205587910434,0,0.003205587910434
"745","X2015","CR234187",1.015,1.6985,0.00561520327094075,0,0.00953742275569286,0,0.00953742275569286
"746","X2000","CR239191",1.015,1.6985,0.00719804818740819,0,0.0122258848463128,0,0.0122258848463128
"747","X2005","CR239191",1.015,1.6985,0.00650158949729804,0,0.0110429497611607,0,0.0110429497611607
"748","X2010","CR239191",1.015,1.6985,0.00822827755703894,0,0.0139757294306306,0,0.0139757294306306
"749","X2012","CR239191",1.015,1.6985,0.00876729568738345,0,0.0148912517250208,0,0.0148912517250208
"750","X2015","CR239191",1.015,1.6985,0.0153326770206786,0,0.0260425519196226,0,0.0260425519196226
